medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,event,country,country_code,discipline,discipline_code
Bronze,3,2022-02-16 00:00:00.0,FOSS-SOLEVAAG S,FOSS-SOLEVAAG Sebastian,M,../../../en/results/alpine-skiing/athlete-profile-n1031301-sebastian-foss-solevaag.htm,Men's Slalom,Norway,NOR,Alpine Skiing,ALP
Gold,1,2022-02-16 00:00:00.0,OEBERG E,OEBERG Elvira,W,../../../en/results/biathlon/athlete-profile-n1051465-elvira-oeberg.htm,Women's 4x6km Relay,Sweden,SWE,Biathlon,BTH
Gold,1,2022-02-16 00:00:00.0,OEBERG H,OEBERG Hanna,W,../../../en/results/biathlon/athlete-profile-n1051443-hanna-oeberg.htm,Women's 4x6km Relay,Sweden,SWE,Biathlon,BTH
Gold,1,2022-02-16 00:00:00.0,BRORSSON M,BRORSSON Mona,W,../../../en/results/biathlon/athlete-profile-n1051450-mona-brorsson.htm,Women's 4x6km Relay,Sweden,SWE,Biathlon,BTH
Gold,1,2022-02-16 00:00:00.0,PERSSON L,PERSSON Linn,W,../../../en/results/biathlon/athlete-profile-n1051467-linn-persson.htm,Women's 4x6km Relay,Sweden,SWE,Biathlon,BTH
Silver,2,2022-02-16 00:00:00.0,REZTSOVA K,REZTSOVA Kristina,W,../../../en/results/biathlon/athlete-profile-n1036733-kristina-reztsova.htm,Women's 4x6km Relay,ROC,ROC,Biathlon,BTH
Silver,2,2022-02-16 00:00:00.0,KAZAKEVICH I,KAZAKEVICH Irina,W,../../../en/results/biathlon/athlete-profile-n1036726-irina-kazakevich.htm,Women's 4x6km Relay,ROC,ROC,Biathlon,BTH
Silver,2,2022-02-16 00:00:00.0,MIRONOVA S,MIRONOVA Svetlana,W,../../../en/results/biathlon/athlete-profile-n1036728-svetlana-mironova.htm,Women's 4x6km Relay,ROC,ROC,Biathlon,BTH
Silver,2,2022-02-16 00:00:00.0,NIGMATULLINA U,NIGMATULLINA Uliana,W,../../../en/results/biathlon/athlete-profile-n1036730-uliana-nigmatullina.htm,Women's 4x6km Relay,ROC,ROC,Biathlon,BTH
Bronze,3,2022-02-16 00:00:00.0,HERRMANN D,HERRMANN Denise,W,../../../en/results/biathlon/athlete-profile-n1012685-denise-herrmann.htm,Women's 4x6km Relay,Germany,GER,Biathlon,BTH
Bronze,3,2022-02-16 00:00:00.0,PREUSS F,PREUSS Franziska,W,../../../en/results/biathlon/athlete-profile-n1012717-franziska-preuss.htm,Women's 4x6km Relay,Germany,GER,Biathlon,BTH
Bronze,3,2022-02-16 00:00:00.0,HINZ V,HINZ Vanessa,W,../../../en/results/biathlon/athlete-profile-n1012728-vanessa-hinz.htm,Women's 4x6km Relay,Germany,GER,Biathlon,BTH
Bronze,3,2022-02-16 00:00:00.0,VOIGT V,VOIGT Vanessa,W,../../../en/results/biathlon/athlete-profile-n1012797-vanessa-voigt.htm,Women's 4x6km Relay,Germany,GER,Biathlon,BTH
Gold,1,2022-02-16 00:00:00.0,VALNES E,VALNES Erik,M,../../../en/results/cross-country-skiing/athlete-profile-n1032204-erik-valnes.htm,Men's Team Sprint Classic,Norway,NOR,Cross-Country Skiing,CCS
Gold,1,2022-02-16 00:00:00.0,KLAEBO JH,KLAEBO Johannes Hoesflot,M,../../../en/results/cross-country-skiing/athlete-profile-n1032194-johannes-hoesflot-klaebo.htm,Men's Team Sprint Classic,Norway,NOR,Cross-Country Skiing,CCS
Silver,2,2022-02-16 00:00:00.0,NISKANEN I,NISKANEN Iivo,M,../../../en/results/cross-country-skiing/athlete-profile-n1035599-iivo-niskanen.htm,Men's Team Sprint Classic,Finland,FIN,Cross-Country Skiing,CCS
Silver,2,2022-02-16 00:00:00.0,MAKI J,MAKI Joni,M,../../../en/results/cross-country-skiing/athlete-profile-n1013050-joni-maki.htm,Men's Team Sprint Classic,Finland,FIN,Cross-Country Skiing,CCS
Bronze,3,2022-02-16 00:00:00.0,TERENTEV A,TERENTEV Alexander,M,../../../en/results/cross-country-skiing/athlete-profile-n1036642-alexander-terentev.htm,Men's Team Sprint Classic,ROC,ROC,Cross-Country Skiing,CCS
Bronze,3,2022-02-16 00:00:00.0,BOLSHUNOV A,BOLSHUNOV Alexander,M,../../../en/results/cross-country-skiing/athlete-profile-n1036630-alexander-bolshunov.htm,Men's Team Sprint Classic,ROC,ROC,Cross-Country Skiing,CCS
Gold,1,2022-02-16 00:00:00.0,HENNIG K,HENNIG Katharina,W,../../../en/results/cross-country-skiing/athlete-profile-n1012795-katharina-hennig.htm,Women's Team Sprint Classic,Germany,GER,Cross-Country Skiing,CCS
Gold,1,2022-02-16 00:00:00.0,CARL V,CARL Victoria,W,../../../en/results/cross-country-skiing/athlete-profile-n1012784-victoria-carl.htm,Women's Team Sprint Classic,Germany,GER,Cross-Country Skiing,CCS
Silver,2,2022-02-16 00:00:00.0,DAHLQVIST M,DAHLQVIST Maja,W,../../../en/results/cross-country-skiing/athlete-profile-n1044318-maja-dahlqvist.htm,Women's Team Sprint Classic,Sweden,SWE,Cross-Country Skiing,CCS
Silver,2,2022-02-16 00:00:00.0,SUNDLING J,SUNDLING Jonna,W,../../../en/results/cross-country-skiing/athlete-profile-n1044362-jonna-sundling.htm,Women's Team Sprint Classic,Sweden,SWE,Cross-Country Skiing,CCS
Bronze,3,2022-02-16 00:00:00.0,NEPRYAEVA N,NEPRYAEVA Natalia,W,../../../en/results/cross-country-skiing/athlete-profile-n1036659-natalia-nepryaeva.htm,Women's Team Sprint Classic,ROC,ROC,Cross-Country Skiing,CCS
Bronze,3,2022-02-16 00:00:00.0,STUPAK Y,STUPAK Yulia,W,../../../en/results/cross-country-skiing/athlete-profile-n1036665-yulia-stupak.htm,Women's Team Sprint Classic,ROC,ROC,Cross-Country Skiing,CCS
Gold,1,2022-02-16 00:00:00.0,QI G,QI Guangpu,M,../../../en/results/freestyle-skiing/athlete-profile-n1059126-guangpu-qi.htm,Men's Aerials,People's Republic of China,CHN,Freestyle Skiing,FRS
Silver,2,2022-02-16 00:00:00.0,ABRAMENKO O,ABRAMENKO Oleksandr,M,../../../en/results/freestyle-skiing/athlete-profile-n1042098-oleksandr-abramenko.htm,Men's Aerials,Ukraine,UKR,Freestyle Skiing,FRS
Bronze,3,2022-02-16 00:00:00.0,BUROV I,BUROV Ilia,M,../../../en/results/freestyle-skiing/athlete-profile-n1041092-ilia-burov.htm,Men's Aerials,ROC,ROC,Freestyle Skiing,FRS
Gold,1,2022-02-16 00:00:00.0,HALL A,HALL Alexander,M,../../../en/results/freestyle-skiing/athlete-profile-n1044664-alexander-hall.htm,Men's Freeski Slopestyle,United States of America,USA,Freestyle Skiing,FRS
Silver,2,2022-02-16 00:00:00.0,GOEPPER N,GOEPPER Nicholas,M,../../../en/results/freestyle-skiing/athlete-profile-n1044827-nicholas-goepper.htm,Men's Freeski Slopestyle,United States of America,USA,Freestyle Skiing,FRS
Bronze,3,2022-02-16 00:00:00.0,TJADER J,TJADER Jesper,M,../../../en/results/freestyle-skiing/athlete-profile-n1037396-jesper-tjader.htm,Men's Freeski Slopestyle,Sweden,SWE,Freestyle Skiing,FRS
Bronze,3,2022-02-16 00:00:00.0,NIEMINEN P,NIEMINEN Petra,W,../../../en/results/ice-hockey/athlete-profile-n1025196-petra-nieminen.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,VESA E,VESA Emilia,W,../../../en/results/ice-hockey/athlete-profile-n1045442-emilia-vesa.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,SAVOLAINEN R,SAVOLAINEN Ronja,W,../../../en/results/ice-hockey/athlete-profile-n1005558-ronja-savolainen.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,TAPANI S,TAPANI Susanna,W,../../../en/results/ice-hockey/athlete-profile-n1005560-susanna-tapani.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,TULUS N,TULUS Noora,W,../../../en/results/ice-hockey/athlete-profile-n1005562-noora-tulus.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,TUOMINEN M,TUOMINEN Minnamari,W,../../../en/results/ice-hockey/athlete-profile-n1005563-minnamari-tuominen.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,VAINIKKA V,VAINIKKA Viivi,W,../../../en/results/ice-hockey/athlete-profile-n1005564-viivi-vainikka.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,VIITASUO E,VIITASUO Ella,W,../../../en/results/ice-hockey/athlete-profile-n1005565-ella-viitasuo.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,HOLOPAINEN E,HOLOPAINEN Elisa,W,../../../en/results/ice-hockey/athlete-profile-n1005528-elisa-holopainen.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,KARJALAINEN S,KARJALAINEN Sini,W,../../../en/results/ice-hockey/athlete-profile-n1005530-sini-karjalainen.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,KARVINEN M,KARVINEN Michelle,W,../../../en/results/ice-hockey/athlete-profile-n1005532-michelle-karvinen.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,KEISALA A,KEISALA Anni,W,../../../en/results/ice-hockey/athlete-profile-n1005534-anni-keisala.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,LAITINEN N,LAITINEN Nelli,W,../../../en/results/ice-hockey/athlete-profile-n1005539-nelli-laitinen.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,LIIKALA J,LIIKALA Julia,W,../../../en/results/ice-hockey/athlete-profile-n1005541-julia-liikala.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,NYLUND J,NYLUND Jenniina,W,../../../en/results/ice-hockey/athlete-profile-n1005549-jenniina-nylund.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,HIIRIKOSKI J,HIIRIKOSKI Jenni,W,../../../en/results/ice-hockey/athlete-profile-n1013010-jenni-hiirikoski.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,RAISANEN M,RAISANEN Meeri,W,../../../en/results/ice-hockey/athlete-profile-n1005553-meeri-raisanen.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,HAKALA S,HAKALA Sanni,W,../../../en/results/ice-hockey/athlete-profile-n1013002-sanni-hakala.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,SUNDELIN S,SUNDELIN Sofianna,W,../../../en/results/ice-hockey/athlete-profile-n1013086-sofianna-sundelin.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,MAKINEN E,MAKINEN Eveliina,W,../../../en/results/ice-hockey/athlete-profile-n1053414-eveliina-makinen.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,NISKANEN T,NISKANEN Tanja,W,../../../en/results/ice-hockey/athlete-profile-n1035628-tanja-niskanen.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,RANTALA S,RANTALA Sanni,W,../../../en/results/ice-hockey/athlete-profile-n1035631-sanni-rantala.htm,Women,Finland,FIN,Ice Hockey,IHO
Bronze,3,2022-02-16 00:00:00.0,VANHANEN S,VANHANEN Sanni,W,../../../en/results/ice-hockey/athlete-profile-n1035643-sanni-vanhanen.htm,Women,Finland,FIN,Ice Hockey,IHO
Gold,1,2022-02-16 00:00:00.0,PIERRE-GILLES J,PIERRE-GILLES Jordan,M,../../../en/results/short-track-speed-skating/athlete-profile-n1038575-jordan-pierre-gilles.htm,Men's 5000m Relay,Canada,CAN,Short Track Speed Skating,STK
Gold,1,2022-02-16 00:00:00.0,DUBOIS S,DUBOIS Steven,M,../../../en/results/short-track-speed-skating/athlete-profile-n1038574-steven-dubois.htm,Men's 5000m Relay,Canada,CAN,Short Track Speed Skating,STK
Gold,1,2022-02-16 00:00:00.0,DION P,DION Pascal,M,../../../en/results/short-track-speed-skating/athlete-profile-n1038567-pascal-dion.htm,Men's 5000m Relay,Canada,CAN,Short Track Speed Skating,STK
Gold,1,2022-02-16 00:00:00.0,LAOUN M,LAOUN Maxime,M,../../../en/results/short-track-speed-skating/athlete-profile-n1038569-maxime-laoun.htm,Men's 5000m Relay,Canada,CAN,Short Track Speed Skating,STK
Gold,1,2022-02-16 00:00:00.0,HAMELIN C,HAMELIN Charles,M,../../../en/results/short-track-speed-skating/athlete-profile-n1038570-charles-hamelin.htm,Men's 5000m Relay,Canada,CAN,Short Track Speed Skating,STK
Silver,2,2022-02-16 00:00:00.0,HWANG D,HWANG Daeheon,M,../../../en/results/short-track-speed-skating/athlete-profile-n1036469-daeheon-hwang.htm,Men's 5000m Relay,Republic of Korea,KOR,Short Track Speed Skating,STK
Silver,2,2022-02-16 00:00:00.0,LEE J,LEE Juneseo,M,../../../en/results/short-track-speed-skating/athlete-profile-n1036470-juneseo-lee.htm,Men's 5000m Relay,Republic of Korea,KOR,Short Track Speed Skating,STK
Silver,2,2022-02-16 00:00:00.0,PARK J,PARK Janghyuk,M,../../../en/results/short-track-speed-skating/athlete-profile-n1036471-janghyuk-park.htm,Men's 5000m Relay,Republic of Korea,KOR,Short Track Speed Skating,STK
Silver,2,2022-02-16 00:00:00.0,KWAK Y,KWAK Yoongy,M,../../../en/results/short-track-speed-skating/athlete-profile-n1036472-yoongy-kwak.htm,Men's 5000m Relay,Republic of Korea,KOR,Short Track Speed Skating,STK
Silver,2,2022-02-16 00:00:00.0,KIM D,KIM Dongwook,M,../../../en/results/short-track-speed-skating/athlete-profile-n1036473-dongwook-kim.htm,Men's 5000m Relay,Republic of Korea,KOR,Short Track Speed Skating,STK
Bronze,3,2022-02-16 00:00:00.0,SIGHEL P,SIGHEL Pietro,M,../../../en/results/short-track-speed-skating/athlete-profile-n1034975-pietro-sighel.htm,Men's 5000m Relay,Italy,ITA,Short Track Speed Skating,STK
Bronze,3,2022-02-16 00:00:00.0,CONFORTOLA Y,CONFORTOLA Yuri,M,../../../en/results/short-track-speed-skating/athlete-profile-n1034972-yuri-confortola.htm,Men's 5000m Relay,Italy,ITA,Short Track Speed Skating,STK
Bronze,3,2022-02-16 00:00:00.0,CASSINELLI A,CASSINELLI Andrea,M,../../../en/results/short-track-speed-skating/athlete-profile-n1034971-andrea-cassinelli.htm,Men's 5000m Relay,Italy,ITA,Short Track Speed Skating,STK
Bronze,3,2022-02-16 00:00:00.0,DOTTI T,DOTTI Tommaso,M,../../../en/results/short-track-speed-skating/athlete-profile-n1034962-tommaso-dotti.htm,Men's 5000m Relay,Italy,ITA,Short Track Speed Skating,STK
Gold,1,2022-02-16 00:00:00.0,CHOI M,CHOI Minjeong,W,../../../en/results/short-track-speed-skating/athlete-profile-n1036478-minjeong-choi.htm,Women's 1500m,Republic of Korea,KOR,Short Track Speed Skating,STK
Silver,2,2022-02-16 00:00:00.0,FONTANA A,FONTANA Arianna,W,../../../en/results/short-track-speed-skating/athlete-profile-n1034964-arianna-fontana.htm,Women's 1500m,Italy,ITA,Short Track Speed Skating,STK
Bronze,3,2022-02-16 00:00:00.0,SCHULTING S,SCHULTING Suzanne,W,../../../en/results/short-track-speed-skating/athlete-profile-n1054312-suzanne-schulting.htm,Women's 1500m,Netherlands,NED,Short Track Speed Skating,STK
Gold,1,2022-02-17 00:00:00.0,GISIN M,GISIN Michelle,W,../../../en/results/alpine-skiing/athlete-profile-n1048385-michelle-gisin.htm,Women's Alpine Combined,Switzerland,SUI,Alpine Skiing,ALP
Silver,2,2022-02-17 00:00:00.0,HOLDENER W,HOLDENER Wendy,W,../../../en/results/alpine-skiing/athlete-profile-n1048557-wendy-holdener.htm,Women's Alpine Combined,Switzerland,SUI,Alpine Skiing,ALP
Bronze,3,2022-02-17 00:00:00.0,BRIGNONE F,BRIGNONE Federica,W,../../../en/results/alpine-skiing/athlete-profile-n1015230-federica-brignone.htm,Women's Alpine Combined,Italy,ITA,Alpine Skiing,ALP
Gold,1,2022-02-17 00:00:00.0,SHCHERBAKOVA A,SHCHERBAKOVA Anna,W,../../../en/results/figure-skating/athlete-profile-n1057108-anna-shcherbakova.htm,Women Single Skating,ROC,ROC,Figure Skating,FSK
Silver,2,2022-02-17 00:00:00.0,TRUSOVA A,TRUSOVA Alexandra,W,../../../en/results/figure-skating/athlete-profile-n1057106-alexandra-trusova.htm,Women Single Skating,ROC,ROC,Figure Skating,FSK
Bronze,3,2022-02-17 00:00:00.0,SAKAMOTO K,SAKAMOTO Kaori,W,../../../en/results/figure-skating/athlete-profile-n1045367-kaori-sakamoto.htm,Women Single Skating,Japan,JPN,Figure Skating,FSK
Gold,1,2022-02-17 00:00:00.0,NAESLUND S,NAESLUND Sandra,W,../../../en/results/freestyle-skiing/athlete-profile-n1045377-sandra-naeslund.htm,Women's Ski Cross,Sweden,SWE,Freestyle Skiing,FRS
Silver,2,2022-02-17 00:00:00.0,THOMPSON M,THOMPSON Marielle,W,../../../en/results/freestyle-skiing/athlete-profile-n1036211-marielle-thompson.htm,Women's Ski Cross,Canada,CAN,Freestyle Skiing,FRS
Bronze,3,2022-02-17 00:00:00.0,MAIER D,MAIER Daniela,W,../../../en/results/freestyle-skiing/athlete-profile-n1012768-daniela-maier.htm,Women's Ski Cross,Germany,GER,Freestyle Skiing,FRS
Gold,1,2022-02-17 00:00:00.0,LAROCQUE J,LAROCQUE Jocelyne,W,../../../en/results/ice-hockey/athlete-profile-n1036278-jocelyne-larocque.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,JOHNSTON R,JOHNSTON Rebecca,W,../../../en/results/ice-hockey/athlete-profile-n1036280-rebecca-johnston.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,SPOONER N,SPOONER Natalie,W,../../../en/results/ice-hockey/athlete-profile-n1036282-natalie-spooner.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,POULIN MP,POULIN Marie-Philip,W,../../../en/results/ice-hockey/athlete-profile-n1036283-marie-philip-poulin.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,JENNER B,JENNER Brianne,W,../../../en/results/ice-hockey/athlete-profile-n1036284-brianne-jenner.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,DAOUST M,DAOUST Melodie,W,../../../en/results/ice-hockey/athlete-profile-n1036285-melodie-daoust.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,SAULNIER J,SAULNIER Jill,W,../../../en/results/ice-hockey/athlete-profile-n1036286-jill-saulnier.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,RATTRAY JL,RATTRAY Jamie Lee,W,../../../en/results/ice-hockey/athlete-profile-n1036287-jamie-lee-rattray.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,TURNBULL B,TURNBULL Blayre,W,../../../en/results/ice-hockey/athlete-profile-n1036288-blayre-turnbull.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,DESBIENS AR,DESBIENS Ann-Renee,W,../../../en/results/ice-hockey/athlete-profile-n1036289-ann-renee-desbiens.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,AMBROSE E,AMBROSE Erin,W,../../../en/results/ice-hockey/athlete-profile-n1036290-erin-ambrose.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,STACEY L,STACEY Laura,W,../../../en/results/ice-hockey/athlete-profile-n1036291-laura-stacey.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,MASCHMEYER E,MASCHMEYER Emerance,W,../../../en/results/ice-hockey/athlete-profile-n1036292-emerance-maschmeyer.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,FAST R,FAST Renata,W,../../../en/results/ice-hockey/athlete-profile-n1036293-renata-fast.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,NURSE S,NURSE Sarah,W,../../../en/results/ice-hockey/athlete-profile-n1036294-sarah-nurse.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,CLARK E,CLARK Emily,W,../../../en/results/ice-hockey/athlete-profile-n1036295-emily-clark.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,ZANDEE-HART M,ZANDEE-HART Micah,W,../../../en/results/ice-hockey/athlete-profile-n1036298-micah-zandee-hart.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,CAMPBELL K,CAMPBELL Kristen,W,../../../en/results/ice-hockey/athlete-profile-n1036300-kristen-campbell.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,SHELTON E,SHELTON Ella,W,../../../en/results/ice-hockey/athlete-profile-n1036303-ella-shelton.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,THOMPSON C,THOMPSON Claire,W,../../../en/results/ice-hockey/athlete-profile-n1036304-claire-thompson.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,MALTAIS E,MALTAIS Emma,W,../../../en/results/ice-hockey/athlete-profile-n1036307-emma-maltais.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,BELL A,BELL Ashton,W,../../../en/results/ice-hockey/athlete-profile-n1036308-ashton-bell.htm,Women,Canada,CAN,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,FILLIER S,FILLIER Sarah,W,../../../en/results/ice-hockey/athlete-profile-n1036309-sarah-fillier.htm,Women,Canada,CAN,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,CARPENTER A,CARPENTER Alex,W,../../../en/results/ice-hockey/athlete-profile-n1037541-alex-carpenter.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,CAVALLINI A,CAVALLINI Alex,W,../../../en/results/ice-hockey/athlete-profile-n1037542-alex-cavallini.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,MURPHY A,MURPHY Abbey,W,../../../en/results/ice-hockey/athlete-profile-n1037543-abbey-murphy.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,ROQUE A,ROQUE Abby,W,../../../en/results/ice-hockey/athlete-profile-n1037544-abby-roque.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,DECKER B,DECKER Brianna,W,../../../en/results/ice-hockey/athlete-profile-n1037547-brianna-decker.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,BARNES C,BARNES Cayla,W,../../../en/results/ice-hockey/athlete-profile-n1037548-cayla-barnes.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,HARVEY C,HARVEY Caroline,W,../../../en/results/ice-hockey/athlete-profile-n1037549-caroline-harvey.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,CAMERANESI D,CAMERANESI Dani,W,../../../en/results/ice-hockey/athlete-profile-n1037550-dani-cameranesi.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,ZUMWINKLE G,ZUMWINKLE Grace,W,../../../en/results/ice-hockey/athlete-profile-n1037551-grace-zumwinkle.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,BRANDT H,BRANDT Hannah,W,../../../en/results/ice-hockey/athlete-profile-n1037552-hannah-brandt.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,KNIGHT H,KNIGHT Hilary,W,../../../en/results/ice-hockey/athlete-profile-n1037553-hilary-knight.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,COMPHER J,COMPHER Jesse,W,../../../en/results/ice-hockey/athlete-profile-n1037554-jesse-compher.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,DUNNE J,DUNNE Jincy,W,../../../en/results/ice-hockey/athlete-profile-n1037555-jincy-dunne.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,COYNE SCHOFIELD K,COYNE SCHOFIELD Kendall,W,../../../en/results/ice-hockey/athlete-profile-n1037556-kendall-coyne-schofield.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,PANNEK K,PANNEK Kelly,W,../../../en/results/ice-hockey/athlete-profile-n1037557-kelly-pannek.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,STECKLEIN L,STECKLEIN Lee,W,../../../en/results/ice-hockey/athlete-profile-n1037559-lee-stecklein.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,BOZEK M,BOZEK Megan,W,../../../en/results/ice-hockey/athlete-profile-n1037560-megan-bozek.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,KELLER M,KELLER Megan,W,../../../en/results/ice-hockey/athlete-profile-n1037561-megan-keller.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,ROONEY M,ROONEY Maddie,W,../../../en/results/ice-hockey/athlete-profile-n1037562-maddie-rooney.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,HENSLEY N,HENSLEY Nicole,W,../../../en/results/ice-hockey/athlete-profile-n1037564-nicole-hensley.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,HARMON S,HARMON Savannah,W,../../../en/results/ice-hockey/athlete-profile-n1037565-savannah-harmon.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,SCAMURRA H,SCAMURRA Hayley,W,../../../en/results/ice-hockey/athlete-profile-n1037566-hayley-scamurra.htm,Women,United States of America,USA,Ice Hockey,IHO
Silver,2,2022-02-17 00:00:00.0,KESSEL A,KESSEL Amanda,W,../../../en/results/ice-hockey/athlete-profile-n1046188-amanda-kessel.htm,Women,United States of America,USA,Ice Hockey,IHO
Gold,1,2022-02-17 00:00:00.0,BJOERNSTAD E,BJOERNSTAD Espen,M,../../../en/results/nordic-combined/athlete-profile-n1013777-espen-bjoernstad.htm,Team Gundersen Large Hill/4x5km,Norway,NOR,Nordic Combined,NCB
Gold,1,2022-02-17 00:00:00.0,ANDERSEN E,ANDERSEN Espen,M,../../../en/results/nordic-combined/athlete-profile-n1013778-espen-andersen.htm,Team Gundersen Large Hill/4x5km,Norway,NOR,Nordic Combined,NCB
Gold,1,2022-02-17 00:00:00.0,OFTEBRO JL,OFTEBRO Jens Luraas,M,../../../en/results/nordic-combined/athlete-profile-n1013774-jens-luraas-oftebro.htm,Team Gundersen Large Hill/4x5km,Norway,NOR,Nordic Combined,NCB
